institution_id,name,type,state,city,url,accreditation_status,source,last_updated
183,Washington,Law School,WA,,http://www.law.washington.edu,ABA Approved (1924),ABA,2025-12-26 18:45:30
184,Washington University,Law School,WA,,http://law.wustl.edu,ABA Approved (1923),ABA,2025-12-26 18:45:30
185,Washington and Lee,Law School,WA,,https://law.wlu.edu,ABA Approved (1923),ABA,2025-12-26 18:45:30
186,Wayne State,Law School,MI,,http://www.law.wayne.edu,ABA Approved (1937),ABA,2025-12-26 18:45:30
187,West Virginia,Law School,WV,,https://www.law.wvu.edu,ABA Approved (1923),ABA,2025-12-26 18:45:30
188,Western New England,Law School,MA,,https://www1.wne.edu/law,ABA Approved (1974),ABA,2025-12-26 18:45:30
189,Widener-Commonwealth,Law School,Widener,Commonwealth,https://commonwealthlaw.widener.edu,ABA Approved (1988),ABA,2025-12-26 18:45:30
190,Widener-Delaware,Law School,Widener,Delaware,http://delawarelaw.widener.edu,ABA Approved (1975),ABA,2025-12-26 18:45:30
191,Willamette,Law School,OR,,http://willamette.edu/law/index.html,ABA Approved (1938),ABA,2025-12-26 18:45:30
192,William and Mary,Law School,VA,,http://law.wm.edu,ABA Approved (1932),ABA,2025-12-26 18:45:30
193,Wilmington +,Law School,,,https://law.wilmu.edu,ABA Approved (2025),ABA,2025-12-26 18:45:30
194,Wisconsin,Law School,WI,,http://www.law.wisc.edu,ABA Approved (1923),ABA,2025-12-26 18:45:30
195,Wyoming,Law School,WY,,http://www.uwyo.edu/law,ABA Approved (1923),ABA,2025-12-26 18:45:30
196,Yale,Law School,CT,,http://www.law.yale.edu,ABA Approved (1923),ABA,2025-12-26 18:45:30
197,Yeshiva,Law School,NY,,http://www.cardozo.yu.edu,ABA Approved (1978),ABA,2025-12-26 18:45:30
198,American National University Paralegal A.A.,Paralegal Program,Virginia,,https://an.edu/programs/associates/paralegal-associates/,AAfPE Member,AAfPE,2025-12-26 18:45:30
199,American River College,Paralegal Program,California,,https://arc.losrios.edu/academics/programs-majors/legal-studies,AAfPE Member,AAfPE,2025-12-26 18:45:30
200,Anne Arundel Community College Paralegal,Paralegal Program,Maryland,,https://www.aacc.edu/programs-and-courses/credit-and-degree-seekers/paralegal/,AAfPE Member,AAfPE,2025-12-26 18:45:30
201,Arapahoe Community College,Paralegal Program,Colorado,,https://www.arapahoe.edu/programs/academic-programs/legal-studies-paralegal,AAfPE Member,AAfPE,2025-12-26 18:45:30
202,Athens Technical College Paralegal Studies,Paralegal Program,Georgia,,https://www.athenstech.edu/programs/paralegal-studies,AAfPE Member,AAfPE,2025-12-26 18:45:30
203,Atlanta Technical College AAS Paralegal Studies,Paralegal Program,Georgia,,https://atlantatech.smartcatalogiq.com/en/2025-2026/college-catalog/programs-of-study/paralegal-studies/paralegal-studies-aas/,AAfPE Member,AAfPE,2025-12-26 18:45:30
204,Auburn University at Montgomery,Paralegal Program,Alabama,,https://www.aum.edu/degree/legal-studies/,AAfPE Member,AAfPE,2025-12-26 18:45:30
205,Ball State University Legal Studies,Paralegal Program,Indiana,,https://www.bsu.edu/academics/collegesanddepartments/political-science/academic-programs/bachelors/legal-studies,AAfPE Member,AAfPE,2025-12-26 18:45:30
206,Bergen Community College Legal Studies,Paralegal Program,New Jersey,,https://bergen.edu/legalstudies/,AAfPE Member,AAfPE,2025-12-26 18:45:30
207,Berkeley College Paralegal Certificate,Paralegal Program,New Jersey,,https://ce.berkeleycollege.edu/public/category/courseCategoryCertificateProfile.do?certificateId=1019535,AAfPE Member,AAfPE,2025-12-26 18:45:30
208,Bristol Community College Paralegal & Legal Studies,Paralegal Program,Massachusetts,,https://bristolcc.edu/learnatbristol/degreescertificatesandclasses/lawandjustice/paralegallegalstudies/index.html,AAfPE Member,AAfPE,2025-12-26 18:45:30
209,Bronx Community College Paralegal Studies,Paralegal Program,New York,,https://www.bcc.cuny.edu/academics/academic-departments/business-and-information-systems-department/degree-certificate-programs-courses/paralegal-studies/,AAfPE Member,AAfPE,2025-12-26 18:45:30
210,Brookdale Community College Paralegal Studies,Paralegal Program,New Jersey,,https://www.brookdalecc.edu/academic-institutes-and-departments/business-social-sciences/paralegal-studies/,AAfPE Member,AAfPE,2025-12-26 18:45:30
211,Broward College Paralegal Studies,Paralegal Program,Florida,,https://www.broward.edu/academics/business/paralegal-studies.html,AAfPE Member,AAfPE,2025-12-26 18:45:30
212,Bryan University,Paralegal Program,Texas,,https://www.bryanuniversity.edu,AAfPE Member,AAfPE,2025-12-26 18:45:30
213,Bucks County Community College Paralegal Certificate,Paralegal Program,Pennsylvania,,https://www.bucks.edu/catalog/majors/business/paralegal-cert/,AAfPE Member,AAfPE,2025-12-26 18:45:30
214,Bunker Hill Community College Legal Studies,Paralegal Program,Massachusetts,,https://www.bhcc.edu/legalstudies/,AAfPE Member,AAfPE,2025-12-26 18:45:30
215,CCBC Paralegal Studies Certificate,Paralegal Program,Maryland,,https://www.ccbcmd.edu/Programs-and-Courses-Finder/Program/paralegal-studies-certificate.html,AAfPE Member,AAfPE,2025-12-26 18:45:30
216,CSU East Bay Extension,Paralegal Program,California,,https://ce.csueastbay.edu/programs/paralegal/,AAfPE Member,AAfPE,2025-12-26 18:45:30
217,CT State Manchester Paralegal Studies,Paralegal Program,Connecticut,,https://manchester.ct.edu/academics/programs/paralegal-studies,AAfPE Member,AAfPE,2025-12-26 18:45:30
218,Calhoun Community College,Paralegal Program,Alabama,,https://www.calhoun.edu/paralegal-studies/,AAfPE Member,AAfPE,2025-12-26 18:45:30
219,Carteret Community College Paralegal Technology,Paralegal Program,New Jersey,,https://carteret.edu/programs/paralegal-technology/,AAfPE Member,AAfPE,2025-12-26 18:45:30
220,Casper College Paralegal Studies,Paralegal Program,Wyoming,,https://www.caspercollege.edu/program/paralegal-studies/,AAfPE Member,AAfPE,2025-12-26 18:45:30
221,Center for Advanced Legal Studies,Paralegal Program,Texas,,https://paralegal.edu/,AAfPE Member,AAfPE,2025-12-26 18:45:30
222,Central Georgia Technical College Paralegal Studies,Paralegal Program,Georgia,,https://www.centralgatech.edu/programs-of-study/public-safety-professional-services/paralegal-studies,AAfPE Member,AAfPE,2025-12-26 18:45:30
223,Central New Mexico Community College Paralegal Studies,Paralegal Program,New Mexico,,https://www.cnm.edu/programs/programs-a-z/paralegal-studies,AAfPE Member,AAfPE,2025-12-26 18:45:30
224,Central Piedmont Community College Paralegal Technology,Paralegal Program,North Carolina,,https://www.cpcc.edu/programs/paralegal-technology,AAfPE Member,AAfPE,2025-12-26 18:45:30
225,Chattahoochee Technical College Paralegal Studies,Paralegal Program,Georgia,,https://www.chattahoocheetech.edu/paralegal-studies/,AAfPE Member,AAfPE,2025-12-26 18:45:30
226,Chattanooga State Community College Paralegal AAS,Paralegal Program,Tennessee,,https://www.chattanoogastate.edu/paralegal-studies-aas,AAfPE Member,AAfPE,2025-12-26 18:45:30
227,Chippewa Valley Technical College Paralegal,Paralegal Program,Wisconsin,,https://www.cvtc.edu/academics/programs/legal-studies-paralegal-post-baccalaureate,AAfPE Member,AAfPE,2025-12-26 18:45:30
228,City Colleges of Chicago AAS Paralegal,Paralegal Program,Illinois,,https://catalog.ccc.edu/academic-program-requirements/paralegal-aas/,AAfPE Member,AAfPE,2025-12-26 18:45:30
229,Clarion University (see homepage),Paralegal Program,Pennsylvania,,https://www.clarion.edu,AAfPE Member,AAfPE,2025-12-26 18:45:30
230,Clayton State University Paralegal Certificate,Paralegal Program,Georgia,,https://catalog.clayton.edu/academic-catalog/arts-sciences/social-sciences/paralegal-studies-certificate/,AAfPE Member,AAfPE,2025-12-26 18:45:30
231,Coastline Community College,Paralegal Program,California,,https://www.coastline.edu/programs/paralegal-studies.php,AAfPE Member,AAfPE,2025-12-26 18:45:30
232,College of DuPage Legal Studies,Paralegal Program,Illinois,,https://www.cod.edu/academics/programs/legal-studies/,AAfPE Member,AAfPE,2025-12-26 18:45:30
233,College of Eastern Idaho Paralegal Studies,Paralegal Program,Idaho,,https://www.cei.edu/program/legal-studies-paralegal,AAfPE Member,AAfPE,2025-12-26 18:45:30
234,College of Lake County Legal Studies,Paralegal Program,Illinois,,https://www.clcillinois.edu/programs/bssdv/legal-studies,AAfPE Member,AAfPE,2025-12-26 18:45:30
235,College of Saint Mary Legal Studies,Paralegal Program,Nebraska,,https://www.csm.edu/academics/undergraduate-field-study/legal-studies,AAfPE Member,AAfPE,2025-12-26 18:45:30
236,College of Southern Nevada Paralegal & Law,Paralegal Program,Nevada,,https://www.csn.edu/schools/school-of-business-hospitality-and-public-services/department-of-business-administration/paralegal-law-program,AAfPE Member,AAfPE,2025-12-26 18:45:30
237,College of the Canyons,Paralegal Program,California,,https://www.canyons.edu/academics/paralegal/program/index.php,AAfPE Member,AAfPE,2025-12-26 18:45:30
238,College of the Sequoias,Paralegal Program,California,,https://www.cos.edu/en-us/academics/business/paralegal,AAfPE Member,AAfPE,2025-12-26 18:45:30
239,Columbus State Community College Paralegal,Paralegal Program,Georgia,,https://www.cscc.edu/academics/departments/paralegal/,AAfPE Member,AAfPE,2025-12-26 18:45:30
240,Community College of Aurora,Paralegal Program,Colorado,,https://www.ccaurora.edu/programs/public-service-department/paralegal-certificate/,AAfPE Member,AAfPE,2025-12-26 18:45:30
241,Community College of Philadelphia Paralegal Studies AAS,Paralegal Program,Pennsylvania,,https://www.ccp.edu/college-catalog/degree-programs/associate-applied-science-aas/paralegal-studies,AAfPE Member,AAfPE,2025-12-26 18:45:30
242,Cuyahoga Community College Paralegal,Paralegal Program,Ohio,,https://www.tri-c.edu/programs/paralegal/index.html,AAfPE Member,AAfPE,2025-12-26 18:45:30
243,Dallas College Paralegal,Paralegal Program,Texas,,https://www.dallascollege.edu/cd/credit/paralegal/pages/default.aspx,AAfPE Member,AAfPE,2025-12-26 18:45:30
244,Davenport University Paralegal,Paralegal Program,Michigan,,https://www.davenport.edu/academics/areas/business/legal-studies-as,AAfPE Member,AAfPE,2025-12-26 18:45:30
245,Davidson-Davie Community College Paralegal Technology,Paralegal Program,North Carolina,,https://www.davidsondavie.edu/academics/law-public-safety/paralegal-technology/,AAfPE Member,AAfPE,2025-12-26 18:45:30
246,Daytona State College Paralegal Studies,Paralegal Program,Florida,,https://www.daytonastate.edu/academic-departments/college-of-business-engineering-and-technology/school-of-business-administration/paralegal-studies.html,AAfPE Member,AAfPE,2025-12-26 18:45:30
247,Del Mar College Paralegal Studies,Paralegal Program,Texas,,https://delmar.edu/degrees/paralegal-studies/index.html,AAfPE Member,AAfPE,2025-12-26 18:45:30
248,Delaware Technical Community College Paralegal Certificate,Paralegal Program,Delaware,,https://www.dtcc.edu/academics/programs-study/paralegal-certificate/,AAfPE Member,AAfPE,2025-12-26 18:45:30
249,Duquesne University School of Law Paralegal Institute,Paralegal Program,Pennsylvania,,https://www.duq.edu/academics/colleges-and-schools/law/paralegal-institute/index.php,AAfPE Member,AAfPE,2025-12-26 18:45:30
250,East Texas A&M University Paralegal Studies,Paralegal Program,Texas,,https://coursecatalog.tamuc.edu/.../paralegal-studies-major/,AAfPE Member,AAfPE,2025-12-26 18:45:30
251,Eastern Michigan University Paralegal,Paralegal Program,Michigan,,https://www.emich.edu/cet/tech-professional-mgmt/programs/paralegal/index.php,AAfPE Member,AAfPE,2025-12-26 18:45:30
252,Edmonds Community College Legal Studies,Paralegal Program,Washington,,https://www.edcc.edu/legal,AAfPE Member,AAfPE,2025-12-26 18:45:30
253,Enterprise State Community College,Paralegal Program,Alabama,,https://www.escc.edu/academics/programs/paralegal-studies,AAfPE Member,AAfPE,2025-12-26 18:45:30
254,FSW A.S. Paralegal,Paralegal Program,Florida,,https://www.fsw.edu/academics/programs/asparalegal,AAfPE Member,AAfPE,2025-12-26 18:45:30
255,Fayetteville Technical Community College Paralegal Technology,Paralegal Program,North Carolina,,https://www.faytechcc.edu/academics/business-programs/paralegal-technology/,AAfPE Member,AAfPE,2025-12-26 18:45:30
256,Florence-Darlington Technical College Paralegal,Paralegal Program,South Carolina,,https://www.fdtc.edu/academics/programs/paralegal/,AAfPE Member,AAfPE,2025-12-26 18:45:30
257,Florida State College at Jacksonville Paralegal Certificate,Paralegal Program,Florida,,https://www.fscj.edu/academics/programs/certs/4104,AAfPE Member,AAfPE,2025-12-26 18:45:30
258,Frederick Community College Paralegal,Paralegal Program,Maryland,,https://www.frederick.edu/programs/public-safety/paralegal.aspx,AAfPE Member,AAfPE,2025-12-26 18:45:30
259,Fremont University Legal Studies,Paralegal Program,Nebraska,,https://fremont.edu/programs/college-legal-studies/,AAfPE Member,AAfPE,2025-12-26 18:45:30
260,Front Range Community College,Paralegal Program,Colorado,,https://www.frontrange.edu/programs-courses/program-list/paralegal.html,AAfPE Member,AAfPE,2025-12-26 18:45:30
261,Fullerton College,Paralegal Program,California,,https://buscis.fullcoll.edu/paralegal/,AAfPE Member,AAfPE,2025-12-26 18:45:30
262,Gadsden State Community College,Paralegal Program,Alabama,,https://www.gadsdenstate.edu/programs-of-study/paralegal-studies/,AAfPE Member,AAfPE,2025-12-26 18:45:30
263,Generations College Paralegal Studies,Paralegal Program,Illinois,,https://www.generations.edu/academics/associates-degree-programs/paralegal-studies-major/,AAfPE Member,AAfPE,2025-12-26 18:45:30
264,George Washington University,Paralegal Program,Washington,,https://www.gwu.edu,AAfPE Member,AAfPE,2025-12-26 18:45:30
265,Georgia Piedmont Technical College Paralegal Studies,Paralegal Program,Georgia,,https://www.gptc.edu/programs/paralegal-studies/,AAfPE Member,AAfPE,2025-12-26 18:45:30
266,Grand Valley State University Paralegal,Paralegal Program,Michigan,,https://www.gvsu.edu/cj/certificate-in-paralegal-studies-172.htm,AAfPE Member,AAfPE,2025-12-26 18:45:30
267,Guilford Technical Community College Paralegal Technology,Paralegal Program,North Carolina,,https://www.gtcc.edu/academics/academic-programs/programs/business-programs/paralegal-technology.php,AAfPE Member,AAfPE,2025-12-26 18:45:30
268,Hamline University Online Paralegal Certificate,Paralegal Program,Minnesota,,https://www.hamline.edu/academics/graduate/online-paralegal-certificate,AAfPE Member,AAfPE,2025-12-26 18:45:30
269,Harford Community College Paralegal Studies,Paralegal Program,Maryland,,https://www.harford.edu/academics/credit-programs/programs/paralegal-studies.php,AAfPE Member,AAfPE,2025-12-26 18:45:30
270,Harrisburg Area Community College Paralegal Studies,Paralegal Program,Pennsylvania,,https://www.hacc.edu/ProgramsandCourses/paralegal-studies-5706.cfm,AAfPE Member,AAfPE,2025-12-26 18:45:30
271,Highline Community College Paralegal AAS,Paralegal Program,Washington,,https://legal.highline.edu/programs/paralegal-aas/,AAfPE Member,AAfPE,2025-12-26 18:45:30
272,Hillsborough Community College Paralegal Studies,Paralegal Program,Florida,,https://www.hccfl.edu/academics/subjects/law-criminal-justice-security/paralegal-studies,AAfPE Member,AAfPE,2025-12-26 18:45:30
273,Hofstra University Maurice A. Deane School of Law Paralegal Certificate,Paralegal Program,New York,,https://law.hofstra.edu/paralegal-certificate-program/,AAfPE Member,AAfPE,2025-12-26 18:45:30
274,Horry-Georgetown Technical College Paralegal,Paralegal Program,South Carolina,,https://www.hgtc.edu/academics/academic-departments/criminal-justice-paralegal-human-services/paralegal.html,AAfPE Member,AAfPE,2025-12-26 18:45:30
275,Husson University Paralegal Certificate,Paralegal Program,Maine,,https://catalog.husson.edu/collegeofbusiness/undergraduate/schooloflegalstudies/legalstudies/certparalegal/,AAfPE Member,AAfPE,2025-12-26 18:45:30
276,IUPUI Paralegal Studies,Paralegal Program,Indiana,,https://liberalarts.indianapolis.iu.edu/programs/paralegal-studies/,AAfPE Member,AAfPE,2025-12-26 18:45:30
277,Illinois Central College Legal Studies Certificate,Paralegal Program,Illinois,,https://icc.edu/programs/legal-studies-certificate/,AAfPE Member,AAfPE,2025-12-26 18:45:30
278,Illinois State University Legal Studies,Paralegal Program,Illinois,,https://illinoisstate.edu/academics/legal-studies/,AAfPE Member,AAfPE,2025-12-26 18:45:30
279,Inver Hills Community College Paralegal,Paralegal Program,Iowa,,https://www.inverhills.edu/degrees-programs/paralegal/,AAfPE Member,AAfPE,2025-12-26 18:45:30
280,Irvine Valley College,Paralegal Program,California,,https://www.ivc.edu/business/paralegal-studies,AAfPE Member,AAfPE,2025-12-26 18:45:30
281,Ivy Tech Community College – Central Indiana Paralegal Studies,Paralegal Program,Indiana,,https://www.ivytech.edu/central/programs/all-academic-programs/school-of-public-affairs-social-services/legal-paralegal-studies/,AAfPE Member,AAfPE,2025-12-26 18:45:30
282,Johnson County Community College Paralegal,Paralegal Program,Kansas,,https://www.jccc.edu/academics/credit/paralegal/,AAfPE Member,AAfPE,2025-12-26 18:45:30
283,Johnston Community College Paralegal Technology,Paralegal Program,North Carolina,,https://www.johnstoncc.edu/programs/paralegal-technology.php,AAfPE Member,AAfPE,2025-12-26 18:45:30
284,Kapi‘olani Community College BLT Legal,Paralegal Program,Hawaii,,https://www.kapiolani.hawaii.edu/programs/blt/legal/,AAfPE Member,AAfPE,2025-12-26 18:45:30
285,LSU Paralegal Studies,Paralegal Program,Louisiana,,https://ce.lsu.edu/paralegal-studies/,AAfPE Member,AAfPE,2025-12-26 18:45:30
286,LaGuardia Community College Paralegal Studies,Paralegal Program,New York,,https://www.laguardia.edu/majors/paralegal-studies/,AAfPE Member,AAfPE,2025-12-26 18:45:30
287,Lakeland Community College (see homepage),Paralegal Program,Wisconsin,,https://www.lakeland.edu,AAfPE Member,AAfPE,2025-12-26 18:45:30
288,Lakeshore Technical College Legal Studies/Paralegal,Paralegal Program,Wisconsin,,https://gotoltc.edu/programs-and-courses/career-areas/law-public-safety-security/legal-studiesparalegal,AAfPE Member,AAfPE,2025-12-26 18:45:30
289,Lehigh Carbon Community College Paralegal,Paralegal Program,Pennsylvania,,https://www.lccc.edu/academics/programs/paralegal/,AAfPE Member,AAfPE,2025-12-26 18:45:30
290,Lewis University Paralegal,Paralegal Program,Illinois,,https://www.lewisu.edu/academics/paralegal,AAfPE Member,AAfPE,2025-12-26 18:45:30
291,Lewis-Clark State College Paralegal,Paralegal Program,Idaho,,https://www.lcsc.edu/program-finder/paralegal,AAfPE Member,AAfPE,2025-12-26 18:45:30
292,Loyola University Chicago Paralegal Studies,Paralegal Program,Illinois,,https://www.luc.edu/paralegal-studies/,AAfPE Member,AAfPE,2025-12-26 18:45:30
